319,Chigozie ,Agbim,21,24,1,6
320,Kenneth ,Omeruo,22,24,2,3
321,Shola ,Ameobi,23,24,4,10
322,Asmir ,Begović,1,22,1,6
323,Avdija ,Vršajević,2,22,3,3
324,Ermin ,Bičakčić,3,22,2,2
325,Emir ,Spahić ,4,22,2,2
326,Sead ,Kolašinac,5,22,2,8
327,Ognjen ,Vranješ,6,22,2,6
328,Muhamed, Bešić,7,22,3,1
329,Miralem ,Pjanić,8,22,3,12
330,Vedad ,Ibišević,9,22,4,4
331,Zvjezdan ,Misimović,10,22,3,2
332,Edin, Džeko,11,22,4,10
333,Jasmin ,Fejzić,12,22,1,8
334,Mensur ,Mujdža,13,22,3,13
335,Tino ,Sušić,14,22,3,7
336,Toni ,Šunjić,15,22,2,3
337,Senad ,Lulić,16,22,3,2
338,Senijad ,Ibričić,17,22,3,3
339,Haris ,Medunjanin,18,22,3,2
340,Edin, Višća,19,22,4,5
341,Izet, Hajrović,20,22,3,13
342,Anel ,Hadžić,21,22,3,14
343,Asmir ,Avdukić,22,22,1,1
344,Sejad ,Salihović,23,22,3,6
345,Rahman ,Ahmadi,1,23,1,7
346,Khosro ,Heydari,2,23,4,11
347,Ehsan ,Hajsafi,3,23,3,5
348,Jalal ,Hosseini,4,23,2,9
349,Amir ,Hossein Sadeghi,5,23,2,6
350,Javad ,Nekounam ,6,23,3,13
351,Masoud ,Shojaei,7,23,4,4
352,Reza ,Haghighi,8,23,3,13
353,Alireza ,Jahanbakhsh,9,23,4,15
354,Karim ,Ansarifard,10,23,4,8
355,Ghasem ,Hadadifar,11,23,3,11
356,Alireza ,Haghighi,12,23,1,2
357,Hossein ,Mahini,13,23,2,1
358,Andranik ,Teymourian,14,23,3,2
359,Pejman ,Montazeri,15,23,2,13
360,Reza ,Ghoochannejhad,16,23,4,6
361,Ahmad, Alenemeh,17,23,2,3
362,Bakhtiar ,Rahmani,18,23,3,5
363,Hashem ,Beikzadeh,19,23,3,9
364,Steven ,Beitashour,20,23,2,11
365,Ashkan ,Dejagah,21,23,4,15
366,Daniel ,Davari,22,23,1,3
367,Mehrdad, Pouladi,23,23,2,10
