ID	Nombre	Apellido	Camisola	Seleccion	Puesto	Club					
417	Frickson	Erazo	3	18	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Flamengo');					
418	Juan	Paredes	4	18	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Barcelona');					
419	Alex	Ibarra	5	18	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Vitesse');					
420	Christian	Noboa	6	18	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Dinamo Moscú');					
421	Jefferson	Montero	7	18	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Morelia');					
422	Edison 	Mendez	8	18	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Independiente Santa Fe');					
423	Joao	Rojas	9	18	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Cruz Azul');					
424	Walter	Ayovi	10	18	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Pachuca');					
425	Felipe	Caicedo	11	18	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Al-Jazira');					
426	Adrian	Bone	12	18	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'El Nacional');					
427	Enner	Valencia	13	18	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Pachuca');					
428	Oswaldo	Minda	14	18	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Chivas USA');					
429	Michael	Arroyo	15	18	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'América');					
430	Antonio	Valencia	16	18	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Manchester United');					
431	Jaimen	Ayovi	17	18	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Tijuana');					
432	Oscar	Bagui	18	18	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Emelec');					
433	Luis	Saritama	19	18	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Barcelona');					
434	Fidel	Martinez	20	18	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Tijuana');					
435	Gabriel	Achilier	21	18	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Emelec');					
436	Alexander	Dominguez	22	18	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'LDU Quito');					
437	Carlos	Gruezo	23	18	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Stuttgart');					
438	Luis	Lopez	1	20	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Real España');					
439	Osman	Chavez	2	20	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Qingdao Jonoon');					
440	Maynor	Figueroa	3	20	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Hull City');					
441	Juan Pablo	Montes	4	20	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Motagua');					
442	Victor 	Bernardez	5	20	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'San Jose Earthquakes');					
443	Juan Carlor	Garcia	6	20	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Wigan Athletic');					
444	Emilio	Izaguirre	7	20	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Celtic');					
445	Wilson	Palacios	8	20	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Stoke City');					
446	Jerry	Palacios	9	20	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Alajuelense');					
447	Mario	Martinez	10	20	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Real España');					
448	Jerry	Bengtson	11	20	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'C.A. Belgrano');					
449	Edder	Delgado	12	20	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Real España');					
450	Carlos	Costly	13	20	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Gaziantepspor');					
451	Boniek	Garcia	14	20	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Houston Dynamo');					
452	Roger	Espinoza	15	20	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Wigan Athletic');					
453	Rony	Martinez	16	20	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Real Sociedad');					
454	Andy	Najar	17	20	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Anderlecht');					
455	Noel	Valladares	18	20	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Olimpia');					
456	Luis	Garrido	19	20	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Houston Dynamo');					
457	Jorge	Claros	20	20	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Sporting Kansas City');					
