500;Constant;DJAKPA;18;10;2;2
501;Yaya;TOURE;19;10;3;9
502;Die;SEREY;20;10;3;17
503;Giovanni;SIO;21;10;4;17
504;Souleymane;BAMBA;22;10;2;25
505;Sayouba;MANDE;23;10;1;30
506;Orestis;KARNEZIS;1;11;1;1
507;Ioannis;MANIATIS;2;11;3;7
508;Georgios;TZAVELAS;3;11;2;7
509;Konstantinos;MANOLAS;4;11;2;7
510;Vangelis;MORAS;5;11;2;8
511;Alexandros;TZIOLIS;6;11;3;25
512;Georgios;SAMARAS;7;11;4;31
513;Panagiotis;KONE;8;11;3;8
514;Konstantinos;MITROGLOU;9;11;4;9
515;Georgios;KARAGOUNIS;10;11;3;9
516;Loukas;VYNTRA;11;11;2;1
517;Panagiotis;GLYKOS;12;11;1;7
518;Stefanos;KAPINO;13;11;1;7
519;Dimitrios;SALPINGIDIS;14;11;4;7
520;Vasileios;TOROSIDIS;15;11;2;8
521;Lazaros;CHRISTODOULOPOULOS;16;11;3;8
522;Theofanis;GEKAS;17;11;4;25
523;Ioannis;FETFATZIDIS;18;11;4;8
524;Sokratis;PAPASTATHOPOULOS;19;11;2;2
525;Jose;CHOLEVAS;20;11;2;7
526;Konstantinos;KATSOURANIS;21;11;3;7
527;Andreas;SAMARIS;22;11;3;7
528;Panagiotis;TACHTSIDIS;23;11;3;8
529;Eiji;KAWASHIMA;1;12;1;5
530;Atsuto;UCHIDA;2;12;2;2
531;Gotoku;SAKAI;3;12;2;2
532;Kaisuke;HONDA;4;12;4;8
533;Yuto;NAGATOMO;5;12;2;8
534;Masato;MORISHIGE;6;12;2;32
535;Yasuhito;ENDO;7;12;3;32
536;Hiroshi;KIYOTAKE;8;12;4;2
537;Shinji;POKAZAKI;9;12;4;2
538;Shinji;KAGAWA;10;12;4;9
539;Yoichiro;KAKITANI;11;12;4;32
540;Shusaku;NISHIKAWA;12;12;1;32
541;Yoshito;OKUBO;13;12;4;32
542;Toshihiro;AOYAMA;14;12;3;32
543;Yasuyuki;KONNO;15;12;2;32
544;Hotaru;YAMAGUCHI;16;12;3;32
545;Makoto;HASEBE;17;12;3;2
546;Yuya;OSAKO;18;12;4;2
547;Masahiko;INOHA;19;12;2;32
548;Manabu;SAITO;20;12;4;32
549;Hiroki;SAKAI;21;12;2;2
550;Maya;YOSHIDA;22;12;2;9
551;Shuichi;GONDA;23;12;1;32
